maxPopulationSize,mutationChance,iterationCount,amountOfFittestPopulationToKeep,bestGenotype,bestGenotypeScore,totalTime
100,0.005,50,0.4,260531472,186,20
100,0.005,50,0.4,260537412,186,40
100,0.005,50,0.4,260537142,186,24
100,0.005,50,0.4,260537412,186,18
100,0.005,50,0.4,214735062,184,32
100,0.005,50,0.4,260537412,186,26
100,0.005,50,0.4,260531472,186,19
100,0.005,50,0.4,214735062,184,26
100,0.005,50,0.4,214735062,184,19
100,0.005,50,0.4,214735062,184,21
100,0.005,50,0.4,260531472,186,21
100,0.005,50,0.4,260531472,186,46
100,0.005,50,0.4,214735062,184,19
500,0.005,50,0.4,260537412,186,125
500,0.005,50,0.4,260537412,186,172
500,0.005,50,0.4,260537142,186,143
500,0.005,50,0.4,260537412,186,189
500,0.005,50,0.4,260537142,186,167
500,0.005,50,0.4,260531472,186,162
500,0.005,50,0.4,260537142,186,176
500,0.005,50,0.4,260537142,186,192
500,0.005,50,0.4,260537412,186,183
500,0.005,50,0.4,260537412,186,234
500,0.005,50,0.4,260537142,186,217
500,0.005,50,0.4,260531472,186,211
500,0.005,50,0.4,260537142,186,248
500,0.005,50,0.4,260537142,186,228
500,0.005,50,0.4,260537412,186,158
500,0.005,50,0.4,260537412,186,164
500,0.005,50,0.4,260537142,186,155
500,0.005,50,0.4,260537142,186,131
500,0.005,50,0.4,260537412,186,168
500,0.005,50,0.4,260531472,186,169
500,0.005,50,0.4,260537412,186,147
500,0.005,50,0.4,260537142,186,145
500,0.005,50,0.4,260531472,186,143
500,0.005,50,0.4,260537412,186,140
500,0.005,50,0.4,260537142,186,199
500,0.005,50,0.4,260537412,186,154
500,0.005,50,0.4,260537142,186,149
500,0.005,50,0.4,260531472,186,143
500,0.005,50,0.4,260537142,186,146
500,0.005,50,0.4,260537412,186,141
500,0.005,50,0.4,260537412,186,160
500,0.005,50,0.4,260531472,186,133
500,0.005,50,0.4,260531472,186,196
500,0.005,50,0.4,260537412,186,173
